0.807	0.411	0.16	0.21	0.323	0.483	0.702	0.994	1.37	1.83	2.38	3.02	3.72	4.45	5.19	5.88	6.48	6.95	7.24	7.34	7.24
0.38	0.228	0.15	0.219	0.336	0.503	0.732	1.04	1.43	1.91	2.49	3.15	3.88	4.64	5.41	6.13	6.76	7.24	7.55	7.66	7.55
0.0758	0.0933	0.134	0.21	0.323	0.483	0.702	0.994	1.37	1.83	2.38	3.02	3.72	4.46	5.19	5.88	6.48	6.95	7.24	7.35	7.24
0.0435	0.0722	0.117	0.185	0.285	0.426	0.62	0.877	1.21	1.62	2.1	2.67	3.28	3.93	4.58	5.19	5.72	6.13	6.39	6.48	6.39
0.035	0.0585	0.0951	0.15	0.231	0.346	0.504	0.713	0.981	1.31	1.71	2.16	2.67	3.19	3.72	4.22	4.65	4.98	5.19	5.26	5.19
0.0262	0.0438	0.0712	0.113	0.173	0.259	0.377	0.533	0.733	0.982	1.28	1.62	1.99	2.39	2.78	3.15	3.47	3.72	3.88	3.94	3.88
0.0181	0.0303	0.0492	0.0778	0.12	0.179	0.26	0.368	0.506	0.677	0.882	1.12	1.37	1.65	1.92	2.17	2.4	2.57	2.68	2.71	2.68
0.0118	0.0197	0.0319	0.0502	0.0771	0.115	0.167	0.236	0.325	0.434	0.565	0.715	0.88	1.05	1.23	1.39	1.53	1.64	1.71	1.74	1.71
0.00759	0.0125	0.0201	0.0315	0.0481	0.0715	0.103	0.145	0.199	0.266	0.345	0.436	0.536	0.641	0.746	0.845	0.931	0.998	1.04	1.06	1.04
0.00557	0.00896	0.0141	0.0216	0.0325	0.0475	0.0679	0.0945	0.128	0.17	0.219	0.275	0.337	0.401	0.466	0.527	0.58	0.622	0.65	0.662	0.656
0.00565	0.00878	0.0134	0.0199	0.029	0.0414	0.0578	0.0789	0.105	0.137	0.174	0.216	0.262	0.31	0.359	0.404	0.445	0.478	0.5	0.512	0.511
0.00787	0.012	0.0178	0.0259	0.037	0.0517	0.0707	0.0946	0.124	0.159	0.2	0.245	0.295	0.346	0.398	0.447	0.492	0.528	0.555	0.571	0.574
0.0124	0.0186	0.0275	0.0397	0.0562	0.0778	0.106	0.14	0.183	0.233	0.29	0.355	0.424	0.497	0.569	0.639	0.702	0.754	0.794	0.819	0.826
0.0194	0.0291	0.0428	0.0617	0.0871	0.12	0.163	0.216	0.281	0.357	0.444	0.542	0.647	0.757	0.867	0.972	1.07	1.15	1.21	1.25	1.26
0.029	0.0435	0.0639	0.0921	0.13	0.179	0.243	0.322	0.417	0.53	0.66	0.805	0.961	1.12	1.29	1.44	1.58	1.7	1.79	1.85	1.87
0.0408	0.0612	0.09	0.13	0.183	0.252	0.342	0.452	0.587	0.746	0.929	1.13	1.35	1.58	1.81	2.03	2.23	2.4	2.52	2.6	2.63
0.054	0.0811	0.119	0.172	0.242	0.334	0.452	0.599	0.777	0.988	1.23	1.5	1.79	2.09	2.39	2.69	2.95	3.17	3.34	3.45	3.48
0.0672	0.101	0.148	0.214	0.301	0.416	0.563	0.746	0.967	1.23	1.53	1.86	2.23	2.6	2.98	3.34	3.67	3.95	4.16	4.29	4.34
0.0786	0.118	0.173	0.25	0.352	0.486	0.658	0.872	1.13	1.44	1.79	2.18	2.6	3.04	3.48	3.91	4.29	4.61	4.86	5.02	5.07
0.0863	0.13	0.19	0.274	0.387	0.534	0.723	0.957	1.24	1.58	1.96	2.39	2.86	3.34	3.83	4.29	4.71	5.07	5.34	5.51	5.57
0.089	0.134	0.197	0.283	0.399	0.551	0.746	0.988	1.28	1.63	2.03	2.47	2.95	3.45	3.95	4.43	4.86	5.23	5.51	5.68	5.74
